team_id,team_name,wins,losses,ties,points_for,points_against,streak_length,final_standing
2,Lockout Lockdown,0,0,0,0.0,0.0,0,0
5,Enter Touchdown,0,0,0,0.0,0.0,0,0
6,Prime Tymaz,0,0,0,0.0,0.0,0,0
8,Team Newbie,0,0,0,0.0,0.0,0,0
9,Shelley Duvall,0,0,0,0.0,0.0,0,0
13,Vita Vea Vegamine,0,0,0,0.0,0.0,0,0
16,Ceedee Ball Catch D'Ball,0,0,0,0.0,0.0,0,0
19,Annexation of Puerto Rico,0,0,0,0.0,0.0,0,0
20,Dawg Pound,0,0,0,0.0,0.0,0,0
21,OJ's Parole Board,0,0,0,0.0,0.0,0,0
22,Cookin with Bijan,0,0,0,0.0,0.0,0,0
23,Never Ever Getting Dak Together,0,0,0,0.0,0.0,0,0
